question,option1,option2,option3,answer
When Aarav volunteers at a local shelter without expecting recognition what value is he demonstrating,Self transcendence,Self interest,Ambition only,Self transcendence
After achieving success Riya chooses to mentor young students for free this act reflects,Empathy and service,Status seeking,Personal glory,Empathy and service
If Sneha finds happiness in helping others rather than gaining praise she is showing,True self transcendence,Low confidence,Dependence,True self transcendence
A person who works to improve their community wellbeing rather than their own fame shows,Altruistic purpose,Competitive drive,Material focus,Altruistic purpose
When Dev spends weekends organizing donation drives it reflects,Compassion beyond self,Need for attention,Obligation only,Compassion beyond self
A leader who inspires others through kindness instead of fear displays,Self transcendent leadership,Authoritarian style,Ego driven ambition,Self transcendent leadership
Someone who feels peace in serving others has likely developed,High self transcendence,High ego,Low empathy,High self transcendence
A person who donates anonymously to help others is acting out of,Pure altruism,Reputation building,Obligation,Pure altruism
When Aarav chooses purpose over profit his motivation reflects,Meaning driven living,Materialism,Status chasing,Meaning driven living
People who find joy in making others happy demonstrate,Empathy and transcendence,Indifference,Ambition only,Empathy and transcendence
If Tanvi supports her teammates and celebrates their wins genuinely she is showing,Collective empathy,Jealousy,Competition,Collective empathy
Riya believes her success means little if it does not help others this belief shows,Self transcendent mindset,Perfectionism,Ego attachment,Self transcendent mindset
Helping someone in need without expecting anything in return reflects,Self transcendence,Strategic networking,Self promotion,Self transcendence
When Sneha values inner peace over material possessions it represents,Spiritual transcendence,Status consciousness,Complacency,Spiritual transcendence
A person motivated by higher purpose rather than personal gain follows,Transcendent values,Transactional behavior,Self centeredness,Transcendent values
If Aarav forgives others easily and focuses on empathy it shows,Emotional maturity,Naivety,Indifference,Emotional maturity
People with self transcendence often,Feel connected to humanity,Seek superiority,Ignore others,Feel connected to humanity
When Meera leads community projects selflessly she demonstrates,Purposeful compassion,Hidden agenda,Ambition only,Purposeful compassion
A person who listens deeply to others struggles displays,Empathy and awareness,Judgment,Disinterest,Empathy and awareness
Someone who helps others grow personally and professionally is practicing,Mentorship and transcendence,Authority,Competition,Mentorship and transcendence
Choosing to help a struggling colleague instead of competing shows,Self transcendent behavior,Personal insecurity,Ego driven motive,Self transcendent behavior
A person guided by compassion and meaning over money has developed,Transcendent purpose,Material focus,Dependency,Transcendent purpose
When Aarav dedicates time to teach underprivileged kids he is,Living with empathy and purpose,Seeking validation,Avoiding work,Living with empathy and purpose
Leaders high in self transcendence often,Inspire through purpose and humility,Command through fear,Control for profit,Inspire through purpose and humility
People driven by transcendence,Find peace in giving,Feel envy when others succeed,Seek constant praise,Find peace in giving
When Sneha chooses unity over ego in a disagreement she reflects,Inner maturity,Weakness,Fear of conflict,Inner maturity
Individuals who work to uplift others show,Self transcendence in action,Self preservation,Material drive,Self transcendence in action
Someone who feels fulfillment by serving others instead of gaining wealth is showing,Empathetic purpose,Ambition only,Self interest,Empathetic purpose
A person focused on leaving a positive legacy instead of personal gain has,Transcendent goals,Short term motives,Selfish ambition,Transcendent goals
Helping others reach their dreams demonstrates,Altruism,Greed,Control,Altruism
When Aarav supports others success without jealousy it reveals,Emotional intelligence,Ambition only,Selfishness,Emotional intelligence
If Riya comforts a friend without trying to fix them she is showing,Empathetic transcendence,Passive behavior,Avoidance,Empathetic transcendence
A truly transcendent mindset prioritizes,Collective growth,Personal reward,Ego satisfaction,Collective growth
Someone who finds purpose in improving the world expresses,Self transcendence,Power seeking,Greed,Self transcendence
People high in transcendence typically,Act selflessly with purpose,Compete aggressively,Avoid emotion,Act selflessly with purpose
When Tanvi joins environmental drives despite her busy schedule it is a sign of,Service oriented values,Time mismanagement,Conformity,Service oriented values
A transcendent leader measures success by,Impact on others lives,Personal fame,Financial gain,Impact on others lives
Choosing kindness in difficult moments shows,True emotional maturity,Fear of confrontation,Dependence,True emotional maturity
Someone who supports humanitarian causes is motivated by,Self transcendence,Social status,External pressure,Self transcendence
People with transcendent values often experience,Inner peace and fulfillment,Stress and guilt,Isolation,Inner peace and fulfillment
If Aarav uses his influence to create opportunities for others he is demonstrating,Purpose driven leadership,Control based ambition,Ego centric mindset,Purpose driven leadership
Those who act out of genuine compassion practice,Altruism,Manipulation,Obligation,Altruism
The heart of self transcendence lies in,Empathy and purpose,Ego and control,Self interest,Empathy and purpose
When Riya finds joy in others happiness she embodies,Selfless connection,Competitive mindset,Material focus,Selfless connection
Transcendence encourages humans to,Look beyond themselves,Seek personal fame,Compete endlessly,Look beyond themselves
When Meera helps others without expecting return she is showing,Unconditional kindness,Strategic help,Social gain,Unconditional kindness
A person high in transcendence usually,Promotes unity and empathy,Creates conflict,Avoids collaboration,Promotes unity and empathy
Living for meaning and others wellbeing defines,Self transcendence,Self enhancement,Materialism,Self transcendence
Self transcendence ultimately leads to,Purpose driven happiness,Shallow success,Isolation,Purpose driven happiness
