question,option1,option2,option3,answer
When Aarav learns a new tool quickly and helps others adapt what trait does this show,Openness to change,Task compliance,Confidence,Openness to change
When Sneha joins a project outside her comfort zone she is demonstrating,Adaptability,Perfectionism,Risk avoidance,Adaptability
Riya treats every change as a chance to learn and improve what mindset is this,Growth mindset,Fixed mindset,Passive optimism,Growth mindset
If Tanvi experiments with new study methods instead of sticking to one she is showing,Flexibility,Uncertainty avoidance,Routine dependence,Flexibility
During restructuring Aarav stays calm and adjusts to the new workflow what behavior does this represent,Adaptability under change,Emotional detachment,Compliance only,Adaptability under change
People who resist new ideas often,Cling to routines,Find faster solutions,Learn more efficiently,Cling to routines
When the office introduces new software Neel takes time to learn it instead of complaining this reflects,Openness to learning,Resistance to change,Temporary patience,Openness to learning
A flexible employee is best described as someone who,Adjusts quickly to new demands,Prefers familiar patterns,Rejects feedback,Adjusts quickly to new demands
In fast changing industries adaptability leads to,Continuous innovation,Increased resistance,Limited growth,Continuous innovation
When feedback is given a person open to change will,Reflect and improve,Defend their actions,Ignore it,Reflect and improve
Meera signs up for training in an unfamiliar field what does this show,Curiosity driven openness,Routine preference,Performance anxiety,Curiosity driven openness
Someone who experiments with new techniques instead of fearing failure demonstrates,Openness to change,Perfectionism,Risk aversion,Openness to change
Karan listens to alternative viewpoints before deciding this indicates,Open mindedness,Indecision,Passivity,Open mindedness
At work Aarav adapts to sudden changes in goals without frustration what trait is this,Flexibility,Compliance,Rigidity,Flexibility
A person who fears uncertainty often,Misses growth opportunities,Gains creativity,Becomes adaptable,Misses growth opportunities
People open to change are more likely to,Innovate and evolve,Repeat old mistakes,Resist growth,Innovate and evolve
When Snehal accepts constructive criticism and acts on it she is showing,Adaptability and openness,Obedience,Self doubt,Adaptability and openness
If someone avoids updates and prefers old methods it shows,Resistance to change,Curiosity,Adaptability,Resistance to change
Openness to change often results in,Greater creativity and progress,Stable stagnation,Predictable results,Greater creativity and progress
A company that rewards experimentation encourages,Openness and innovation,Caution and repetition,Control and predictability,Openness and innovation
During unpredictable times adaptability ensures,Success through adjustment,Consistency without change,Avoidance of challenges,Success through adjustment
People open to new experiences often,Find creative ways to solve problems,Avoid challenges,Stick to traditions,Find creative ways to solve problems
Resistance to change most often causes,Missed chances for progress,Increased creativity,Improved innovation,Missed chances for progress
Openness to change thrives most in people who,Stay curious and courageous,Stick to comfort zones,Avoid challenges,Stay curious and courageous
An employee who embraces new tech trends demonstrates,Openness to change,Routine thinking,Fear of failure,Openness to change
