question,option1,option2,option3,answer
During a tense meeting Aarav keeps calm and responds logically instead of snapping back what does this behavior indicate,Emotional intelligence,Self suppression,Indifference,Emotional intelligence
When Riya shows quick mood changes depending on feedback what does this indicate,High emotional range,High empathy,Emotional control,High emotional range
A person who manages emotions effectively under stress displays,Emotional intelligence,Disengagement,Detachment,Emotional intelligence
When Tanvi meditates regularly to stay composed during tough days it helps improve her,Emotional stability,Focus only,Self confidence,Emotional stability
If Dev rarely shows extreme emotions and stays balanced most of the time he has,Low emotional range,Emotional detachment,Calm personality,Low emotional range
Emotional range describes,How frequently and intensely emotions shift,How fast someone reacts,How long feelings last,How frequently and intensely emotions shift
When Sneha calmly explains her view instead of yelling during conflict she is showing,Good emotional control,Defensiveness,Suppression,Good emotional control
Emotional stability refers to,Staying balanced under emotional pressure,Feeling less emotion,Avoiding conflict,Staying balanced under emotional pressure
A person who recognizes their own stress patterns and emotions demonstrates,Emotional awareness,Self doubt,Overthinking,Emotional awareness
When Karan manages stress calmly and keeps communication clear it reflects,High emotional intelligence,Strong willpower only,Assertiveness,High emotional intelligence
When stressed emotionally stable people usually,Think logically before reacting,Withdraw from tasks,Suppress their feelings,Think logically before reacting
If Anika can label what she feels and express it clearly she shows,Emotional awareness,Social sensitivity,Confidence,Emotional awareness
When Neel shouts during an argument without listening first it reflects,Poor emotional control,Honesty,Confidence,Poor emotional control
Someone who takes a deep breath before responding in anger is practicing,Emotional regulation,Emotional avoidance,Suppression,Emotional regulation
Why is emotional stability valuable in decision making,It reduces impulsive choices,It increases authority,It limits emotions,It reduces impulsive choices
A person who panics at small setbacks is likely,Emotionally unstable,Highly empathetic,Strongly aware,Emotionally unstable
Leaders with strong emotional intelligence tend to,Motivate through empathy,Control through fear,Avoid emotional talks,Motivate through empathy
Someone aware of their own moods and triggers can,Adjust reactions effectively,Ignore emotions better,Suppress anger completely,Adjust reactions effectively
When Varun loses his temper over minor issues it signals,Emotional instability,High awareness,Confidence,Emotional instability
During performance feedback emotionally stable people,Listen calmly before replying,Argue to defend themselves,Avoid feedback,Listen calmly before replying
Who among these likely has high emotional stability,Someone who remains calm under criticism,Someone who reacts immediately,Someone who blames others,Someone who remains calm under criticism
In conflicts emotional control is most valuable because it,Prevents escalation,Shows dominance,Avoids feedback,Prevents escalation
Emotionally intelligent people tend to,Understand and empathize with others,Detach completely,Control others emotions,Understand and empathize with others
Maintaining a gratitude journal or meditating daily strengthens,Emotional balance,Optimism only,Mental detachment,Emotional balance
If Ananya accepts criticism without defensiveness and uses it to grow she is showing,Emotional maturity,Indifference,People pleasing,Emotional maturity
