question,option1,option2,option3,answer
During a team discussion Neha listens carefully nods occasionally and asks thoughtful questions what does this show,Active engagement,Passive observation,Polite silence,Active engagement
When Aarav maintains steady eye contact while speaking to his manager it conveys,Confidence,Curiosity,Discomfort,Confidence
At a networking event Maya listens first and responds with understanding instead of interrupting what helps her connect better,Empathy,Assertiveness,Authority,Empathy
During a friendly chat Riya balances listening and speaking equally what makes her conversation effective,Active listening,Constant talking,Topic control,Active listening
While talking to his colleague Karan nods and says I get your point what kind of listening is this,Reflective listening,Selective listening,Surface listening,Reflective listening
A good conversation between two friends usually has,Balance between speaking and listening,Constant advice giving,Long pauses,Balance between speaking and listening
When Rohit keeps interrupting during a meeting what does that behavior cause,Break in flow,Engagement,Interest,Break in flow
Effective communication depends on,Understanding context,Volume of speech,Confidence only,Understanding context
To keep a conversation lively Meera asks what inspired you to choose that path this is an example of,Open ended questioning,Polite small talk,Information seeking,Open ended questioning
When Rahul waits patiently for his turn instead of speaking over others he is showing,Respect,Control,Confidence,Respect
Sneha keeps eye contact and listens carefully while others speak what key element is she demonstrating,Active listening,Authority,Focus,Active listening
People who enjoy good conversations are usually,Empathetic and curious,Analytical and distant,Quiet and reserved,Empathetic and curious
Why do people use small talk in new interactions,To build rapport,To fill silence awkwardly,To test patience,To build rapport
When Aisha maintains eye contact and leans slightly forward while listening she is showing,Confidence and attentiveness,Pressure and dominance,Curiosity only,Confidence and attentiveness
If someone says I see what you mean during a conversation it signals,Understanding,Agreement,Approval,Understanding
In a professional debate waiting until the speaker finishes shows,Respect,Insecurity,Indifference,Respect
During a pause in conversation Ankit uses the moment to think and respond meaningfully what is he using effectively,Conversational timing,Control,Politeness,Conversational timing
When Neel uses hand gestures and an open posture he is improving,Body language,Fluency,Focus,Body language
Riya constantly checks her phone while talking to her teacher what is this an example of,Disrespect,Multitasking,Distraction,Disrespect
Empathy in conversation means,Understanding others feelings,Agreeing with everyone,Avoiding emotion,Understanding others feelings
If you did not catch what someone said the best response is,Ask follow up questions,Stay quiet,Change topic,Ask follow up questions
When opinions clash the best approach is to,Express respectfully,Defend stubbornly,Ignore completely,Express respectfully
A conversation feels natural when,Both sides participate,Only one person speaks,There is complete silence,Both sides participate
If you use humor in a group setting it should be,Appropriate and inclusive,Sarcastic,Random,Appropriate and inclusive
A talk becomes more interesting when,You show genuine curiosity,You keep steering it,You remain silent,You show genuine curiosity
