question,option1,option2,option3,answer
When Aarav sets new skill goals each month to improve his coding what is he practicing,Self enhancement,Workload management,Task repetition,Self enhancement
Sneha takes online courses to improve her leadership abilities this action shows,A desire for personal growth,Avoidance of challenges,Dependence on others,A desire for personal growth
When Riya uses constructive feedback to perform better next time she demonstrates,Self enhancement,Perfectionism,Avoidance,Self enhancement
A person who constantly looks for ways to outperform their past self is motivated by,Growth mindset,Competition alone,Complacency,Growth mindset
Tanvi reflects on her weaknesses and plans to improve them this habit shows,Self awareness and enhancement,Overthinking,Self doubt,Self awareness and enhancement
After failing a test Aarav studies harder instead of giving up what attitude does this reflect,Resilience and self enhancement,Defeatism,Excuse making,Resilience and self enhancement
People who focus on being better than before are driven by,Personal growth,External validation,Comparison only,Personal growth
When Meera sets higher goals after achieving her last one it shows,Ambition and self enhancement,Overconfidence,Fatigue,Ambition and self enhancement
Someone who seeks mentors and asks for feedback is showing,Commitment to self improvement,Dependency,Insecurity,Commitment to self improvement
A person who avoids feedback and sticks to old habits lacks,Self enhancement,Confidence,Consistency,Self enhancement
Rahul regularly reflects on his performance to identify growth areas what habit is this,Continuous learning,Routine maintenance,Task compliance,Continuous learning
Those with a self enhancing mindset often,Embrace challenges,Resist feedback,Avoid risk,Embrace challenges
When Aarav takes responsibility for his mistakes and fixes them it shows,Self improvement focus,Defensiveness,Blame shifting,Self improvement focus
A professional who sets clear ambitious goals is demonstrating,Self enhancement,Self promotion,Self comparison,Self enhancement
People high in self enhancement,Push themselves beyond comfort zones,Avoid effort,Seek approval only,Push themselves beyond comfort zones
When Riya reads daily to expand her thinking she is showing,Continuous improvement,Repetition,Indifference,Continuous improvement
After feedback from her manager Tanvi improves her workflow this is an example of,Learning adaptability,Defensive reaction,Avoidance,Learning adaptability
A self enhancing person views failure as,A lesson for future success,An irreversible mistake,A reason to quit,A lesson for future success
Someone motivated by self enhancement,Seeks to maximize potential,Relies on luck,Rejects growth,Seeks to maximize potential
When Dev practices discipline to reach fitness goals it reflects,Self control and enhancement,Perfectionism only,External motivation,Self control and enhancement
If someone prefers comfort over growth they lack,Self enhancement drive,Self belief,Patience,Self enhancement drive
Self enhancement primarily promotes,Confidence and achievement,Denial and arrogance,Complacency,Confidence and achievement
Ambitious individuals with self enhancement tendencies,Set challenging goals,Avoid difficult paths,Blame circumstances,Set challenging goals
People who take initiative to learn new tools or skills demonstrate,Proactive self enhancement,Dependence on others,Resistance to change,Proactive self enhancement
Continuous improvement is possible through,Effort and reflection,Inaction and comfort,Avoidance,Effort and reflection
When Aarav reads feedback carefully instead of ignoring it he is showing,Accountability and growth,Overanalyzing,Self doubt,Accountability and growth
A self enhancing mindset helps people,Progress in personal and professional areas,Stay stagnant,Ignore self awareness,Progress in personal and professional areas
If someone refuses to learn from failure it shows,Low self enhancement,High ambition,Confidence only,Low self enhancement
People who actively seek better performance every time show,Commitment to self growth,Avoidance of risk,Complacency,Commitment to self growth
To enhance oneself effectively one must,Recognize weaknesses and improve,Ignore feedback,Avoid reflection,Recognize weaknesses and improve
Ambition often fuels,Self enhancement and progress,Overthinking,Fear of effort,Self enhancement and progress
When Tanvi tracks her progress and celebrates small wins she is building,Motivation and self belief,Dependence,Arrogance,Motivation and self belief
A self enhancing person usually,Focuses on learning continuously,Avoids responsibility,Rejects discipline,Focuses on learning continuously
Professionals with strong self enhancement habits,Succeed faster and adapt better,Complain about feedback,Avoid effort,Succeed faster and adapt better
A self enhancement mindset promotes,Resilience and perseverance,Indifference,Denial,Resilience and perseverance
If Aarav spends time learning a new language for career growth it represents,Personal development,Distraction,Complacency,Personal development
Those who respond to feedback with improvement rather than defense show,Maturity and growth,Fragility,Resistance,Maturity and growth
To grow continuously a person must,Embrace change and feedback,Reject help,Stay static,Embrace change and feedback
Self enhancement thrives on,Self awareness and discipline,Perfectionism and pressure,Luck and timing,Self awareness and discipline
An ambitious student who pushes limits and learns from failure shows,Persistence and self enhancement,Complacency,Neglect,Persistence and self enhancement
Which behavior slows growth the most,Avoiding feedback,Asking questions,Seeking guidance,Avoiding feedback
Someone who values self enhancement most likely,Invests time in personal growth,Avoids effort,Rejects learning,Invests time in personal growth
A self enhancing professional is typically,Goal driven and focused,Passive and dependent,Casual and unbothered,Goal driven and focused
Continuous learning habits lead to,Self enhancement,Stagnation,Overconfidence,Self enhancement
A person high in self enhancement,Seeks constant improvement,Rejects help,Settles early,Seeks constant improvement
People who practice self enhancement consistently,Develop confidence and leadership,Avoid teamwork,Blame others,Develop confidence and leadership
Someone with strong self enhancement habits,Strives for excellence,Avoids feedback,Rejects ambition,Strives for excellence
Self enhancement ultimately means,Becoming the best version of yourself,Avoiding failure,Outperforming others only,Becoming the best version of yourself
When Riya sets stretch goals to push her limits what quality is she showing,Self enhancement drive,Comfort seeking,Task avoidance,Self enhancement drive
